stageid,traversedpath,accountid,name,accountnumber,accountratingcode,address1_composite,address1_addresstypecode,address1_city,address1_country,address1_county,address1_fax,address1_freighttermscode,address1_latitude,address1_longitude,address1_name,address1_postofficebox,address1_primarycontactname,address1_stateorprovince,address1_line1,address1_line2,address1_line3,address1_telephone2,address1_telephone3,address1_postalcode,address2_composite,address2_addresstypecode,address2_city,address2_country,address2_county,address2_fax,address2_latitude,address2_longitude,address2_name,address2_postofficebox,address2_primarycontactname,address2_stateorprovince,address2_line1,address2_line2,address2_line3,address2_telephone1,address2_telephone2,address2_telephone3,address2_postalcode,address1_telephone1,aging30,aging30_base,aging60,aging60_base,aging90,aging90_base,revenue,revenue_base,businesstypecode,accountcategorycode,accountclassificationcode,creditonhold,creditlimit,creditlimit_base,customersizecode,entityimage,description,donotbulkemail,donotbulkpostalmail,donotemail,donotfax,donotpostalmail,donotphone,emailaddress1,emailaddress2,emailaddress3,entityimageid,exchangerate,msdyn_externalaccountid,fax,followemail,ftpsiteurl,importsequencenumber,industrycode,lastusedincampaign,lastonholdtime,telephone1,marketcap,marketcap_base,marketingonly,merged,numberofemployees,onholdtime,opendeals,opendeals_date,opendeals_state,openrevenue,openrevenue_base,openrevenue_date,openrevenue_state,telephone2,ownershipcode,participatesinworkflow,paymenttermscode,preferredappointmentdaycode,preferredcontactmethodcode,preferredappointmenttimecode,primarysatoriid,primarytwitterid,processid,customertypecode,donotsendmm,sharesoutstanding,shippingmethodcode,sic,statuscode,statecode,stockexchange,msdyn_taxexempt,msdyn_taxexemptnumber,teamsfollowed,telephone3,territorycode,tickersymbol,timespentbymeonemailandmeetings,timezoneruleversionnumber,msdyn_travelcharge,msdyn_travelcharge_base,msdyn_travelchargetype,utcconversiontimezonecode,versionnumber,websiteurl,msdyn_workorderinstructions,yominame,msdyn_billingaccount,createdbyexternalparty,transactioncurrencyid,slainvokedid,masterid,modifiedbyexternalparty,originatingleadid,owningbusinessunit,parentaccountid,preferredequipmentid,msdyn_preferredresource,preferredserviceid,preferredsystemuserid,primarycontactid,defaultpricelevelid,msdyn_salestaxcode,msdyn_serviceterritory,slaid,territoryid,msdyn_workhourtemplate
,,cca19cdd-88df-e311-b8e5-6c3be5a8b200,The Phone Company,BBA38GH5,Default Value,"15289 West Jackson
Clinton, CO 74285
USA",,Clinton,USA,,,,,,,,,CO,15289 West Jackson,,,,,74285,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,20000000,20000000,Default Value,,Default Value,false,,,Default Value,,"The Phone Company is a leading provider of communications services that connect individuals through broadband devices nationwide. Our technology serves an estimated 3.6 million subscribers. We provide affordable communication solutions that offer our customers flexibility, portability and ease-of-use. 

The Phone Company offers a variety of business and residential plans with popular features such as call waiting, call forwarding and voicemail. Our service is sold nationwide - see your local retailer for details.",false,false,false,false,false,false,info@thephone-company.com,,,,1,,+1-327-555-3960,true,,105,Utility Creation and Distribution,,,+1-327-555-3960,,,false,false,310,,2,2/3/2020 10:15:36 PM,1,2450000,2450000,2/3/2020 10:15:36 PM,1,,,false,,,Any,,,,,,false,,Default Value,,Active,Active,,false,,,,Default Value,,,0,,,None,,7768923,http://www.thephone-company.com,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,,,,,,d2fa0104-62ef-e411-80eb-c4346bace124,
,,c8a19cdd-88df-e311-b8e5-6c3be5a8b200,Southridge Video,BAK8JYG9,Default Value,"654 Main
Clinton, CO 74285
USA",,Clinton,USA,,,,,,,,,CO,654 Main,,,,,74285,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,227000000,227000000,Default Value,,Default Value,false,,,Default Value,,"No matter the movie you are looking for, Southridge Video has it for you. With over 30,000 locations throughout the nation, we are the leader in the latest as well as classic videos at an affordable price.

We feature over 700 movies and up to 120 titles in our video rental stores so you are sure to find what you need. We pride ourselves on being the convenient and affordable way to watch movies.",false,false,false,false,false,false,info@southridgevideo.com,,,,1,,+1-695-555-3400,true,,105,Entertainment Retail,,,+1-695-555-3400,,,false,false,3300,,4,2/3/2020 10:15:36 PM,1,5762320,5762320,2/3/2020 10:15:36 PM,1,,,false,,,Any,,,,,,false,,Default Value,,Active,Active,,false,,,,Default Value,,,0,,,None,,7768921,http://southridgevideo.com,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,,,,,,d2fa0104-62ef-e411-80eb-c4346bace124,
,,475b158c-541c-e511-80d3-3863bb347ba8,A. Datum,AF3HN2S4,Default Value,"Magui Lan
Guangzhou, Guangdong 650031
Republic of China",,Guangzhou,Republic of China,,,,,,,,,Guangdong,Magui Lan,,,,,650031,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,1000000000,Default Value,,Default Value,false,,,Default Value,,"非常自豪能够帮助人们享受生活的产品而闻名的品牌 

A. Datum provides you with a wide selection of products both in our stores and online . You’ll find huge selections of consumer electronics, desktops, notebooks, netbooks, and all the accessories to go with them. We have a HUGE selection of HDTVs, DVD and Blu-Ray players, DVRs, Home Theater Systems, GPS Players, Digital Cameras, Hi-Def Camcorders, Digital Picture Frames and so much more! Plus, we have a greatly expanded selection of computer components, like computer cases, motherboards, memory and processors – all the things to upgrade your current system, or build your own. 

In addition to our incredibly low prices, we offer world-class online content designed to provide you with the in-depth knowledge you need to make informed buying decisions. Our site features hundreds of professionally produced videos, close-up photographs of each item, product reviews by customers, and countless educational articles written by experts in the computer & electronics industry. You can expect fast shipping times from our warehouse – we expect that more than 90% of our orders will be shipped from our warehouse the same day you place your order. Our goal is your 100% satisfaction! 

We have a dedicated call center you can reach, 24 hours a day, 7 days a week. Our representatives are some of the best in the industry – here to help you select the right products, complete a purchase or answer any customer service questions you might have.",false,false,false,false,false,false,vlauriant@adatum.com,,,,1,,86-23-4444-101,true,,,Consumer Services,,,+86-23-4444-0100,,,false,false,12000,,6,2/3/2020 10:15:36 PM,1,13153456,13153456,2/3/2020 10:15:36 PM,1,,Public,false,Net 60,,Any,,,,,,false,,Default Value,,Active,Active,,false,,,,Default Value,ADATU,,0,,,None,,7768855,http://www.adatum.com,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,465b158c-541c-e511-80d3-3863bb347ba8,,,,,a25642f7-61ef-e411-80eb-c4346bace124,
,,bca19cdd-88df-e311-b8e5-6c3be5a8b200,Litware,ABCO9M33,Default Value,"100 Red Oak Lane
Dallas, X
USA",,Dallas,USA,,,,,,,,,X,100 Red Oak Lane,,,,,,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,497000000,497000000,Default Value,,Default Value,false,,,Default Value,,Litware is a powerful software company focused on 21st century innovation.,false,false,false,false,false,false,andrewr@litware.com,,,,1,,1-425-555-3456,true,,105,Financial,,,1-425-555-3455,,,false,false,5398,,2,2/3/2020 10:15:36 PM,1,8126000,8126000,2/3/2020 10:15:36 PM,1,,,false,,,Any,,,,,,false,,Default Value,,Active,Active,,false,,,,Default Value,LSWZ,,0,,,None,,7154579,http://www.litware.com,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,,,,,,d2fa0104-62ef-e411-80eb-c4346bace124,
,,caaba0f1-4991-e911-a961-000d3a37fb59,GE Healthcare,,Default Value,"1053 W Grand Ave
Chicago, IL 98052
United States",,Chicago,United States,,,,,,,,,IL,1053 W Grand Ave,,,,,98052,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,98666000,98666000,Default Value,,Default Value,false,,,Default Value,,,false,false,false,false,false,false,,,,,1,,,true,,,,,,(312) 243-0787,,,false,false,,,1,2/3/2020 10:15:36 PM,1,13000020,13000020,2/3/2020 10:15:36 PM,1,,,false,,,Any,,,,00000000-0000-0000-0000-000000000000,,false,,Default Value,,Active,Active,,false,,,,Default Value,,,,,,None,,7154560,https://www.gehealthcare.com/,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,,,,,,d2fa0104-62ef-e411-80eb-c4346bace124,
,,c4a19cdd-88df-e311-b8e5-6c3be5a8b200,"Proseware, Inc.",BBA38GH7,Default Value,"2265 Park Glen Court
Port Orchard, NC
US",,Port Orchard,US,,,,,,,,,NC,2265 Park Glen Court,,,,,,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,89000000,89000000,Default Value,,Default Value,false,,,Default Value,,"Proseware has been providing high-quality, ergonomic and durable housewares through nationwide network of home, retail and hardware centers for nearly 50 years. We are committed to ensuring our brand continues to represent the durable and quality products we stand for.",false,false,false,false,false,false,ymckay@proseware.com,,,,1,,+1-098-555-4121,true,,105,Financial,,,+1-098-555-4121,,,false,false,2000,,2,2/3/2020 10:15:36 PM,1,3861200,3861200,2/3/2020 10:15:36 PM,1,,,false,,,Any,,,,,,false,,Default Value,,Active,Active,,false,,,,Default Value,PROWZ,,0,,,None,,7154540,http://www.proseware.com,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,65a0e5b9-88df-e311-b8e5-6c3be5a8b200,,,,,,
,,739ae75f-b4b4-e911-a96a-000d3a37fb59,Contoso Groceries,,Default Value,"20 Quai Claude Bernard
69007 Lyon
France",,Lyon,France,,,,,,,,,,20 Quai Claude Bernard,,,,,69007,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,Default Value,,Default Value,false,,,Default Value,,,false,false,false,false,false,false,,,,,0.946765,,,true,,,Wholesale,,,,,,false,false,,,1,2/3/2020 10:15:36 PM,1,946765,1000000,2/3/2020 10:15:36 PM,1,,Private,false,,,Any,,,,00000000-0000-0000-0000-000000000000,,false,,Default Value,,Active,Active,,false,,,,Default Value,,,,,,None,,7154524,https://www.contosogroceries.com,,,,,ef270b18-0c74-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,733b9e37-b4b4-e911-a96a-000d3a37fb59,,,,,0f611509-b3b4-e911-a96a-000d3a37fb59,
,,cea19cdd-88df-e311-b8e5-6c3be5a8b200,Trey Research,BOBC3J9U,Default Value,"Konrad-Trey St 1000
Kirkland 98033
United States",,Kirkland,United States,,,,,,,,,,Konrad-Trey St 1000,,,,,98033,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,75000000,75000000,Default Value,,Default Value,false,,,Default Value,,"Trey Research is the research arm of Colorado and the surrounding states. We provide acute care research and leverage local teaching hospitals which are staffed by our very own physicians. 

Trey is the fourth-largest nonprofit medical research organization in the Colorado area and ranks in the top ten percent of all institutions that receive research funding.",false,false,false,false,false,false,info@treyresearch.net,,,,1,,+49-(0)89-0110-0,true,,105,Entertainment Retail,,,+49-(0)89-0110-0,,,false,false,2500,,3,2/3/2020 10:15:36 PM,1,5000000,5000000,2/3/2020 10:15:36 PM,1,,,false,,,Any,,,,,,false,,Default Value,,Active,Active,,false,,,,Default Value,TRSZU,,0,,,None,,7154494,http://www.treyresearch.net,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,73a0e5b9-88df-e311-b8e5-6c3be5a8b200,,,,,,
,,a8a19cdd-88df-e311-b8e5-6c3be5a8b200,Adventure Works Africa,ABSS4G45,Default Value,"11111 William Nicol Drive
Johannesburg 2100
South Africa",,Johannesburg,South Africa,,,,,,,,,,11111 William Nicol Drive,,,,,2100,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,450000000,450000000,Default Value,,Default Value,false,,,Default Value,,Adventure Works is one of the biggest bicycle manufacturers in the world. We continually are looking for better ways to build faster and better bikes for our customers. All of our bikes are designed and built by fellow bicyclists. As a global manufacturer of bikes we're always looking to improve and create the most innovative biking products in the world.,false,false,false,false,false,false,Adrian@adventure-works.com,,,,1,,27-264-555-7875,true,,105,Non-Durable Merchandise Retail,,,-1234804,,,false,false,5800,,7,2/3/2020 10:15:36 PM,1,20893160,20893160,2/3/2020 10:15:36 PM,1,,Private,false,Net 30,,Any,,,,,,false,,Default Value,,Active,Active,,false,,,,Default Value,ADWKS,,0,,,None,,7154456,http://www.adventure-works.com,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,49a0e5b9-88df-e311-b8e5-6c3be5a8b200,,,,,67aa3c35-62ef-e411-80eb-c4346bace124,
,,7b6b47c7-0fd0-e911-a96d-000d3a37fb59,Trey Research,,Default Value,"125
Pullman, Washington",,Pullman,,,,,,,,,,Washington,125,,,,,,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,23000000,23000000,Default Value,,Default Value,false,,,Default Value,,,false,false,false,false,false,false,,,,,1,,,true,,,,,,509-334-6528,,,false,false,200,,0,2/3/2020 10:15:36 PM,1,0,0,2/3/2020 10:15:36 PM,1,,,false,,,Any,,,,00000000-0000-0000-0000-000000000000,,false,,Default Value,,Active,Active,,false,,,,Default Value,,,,,,None,,7154407,,,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,,,,,,,
