what do i need to do to	how to
i do not know what to do	how to
it will not allow me to	i cannot
is there any way i can	can i
is there a way i can	can i
i want to know how to	how to
i need to know how to	how to
i do not know how to	how to
i cannot figure out how to	how to
will not allow me to	cannot
what can i do to	how to
need to be able to	want to
it will not let me	i cannot
is there a way to	can i
i do not know why	why
i do not know how	how
i am not able to	cannot
i am locked out of	i cannot sign into
have not been able to	cannot
have been locked out of	cannot sign into
could you please help me	
can you please help me	
could you please tell me	
can you please tell me	
i would like to know	
will not let me	cannot
is it possible to	can i
i need help with	
i have trouble with	
i have trouble up	
i have trouble on	
i have trouble in	
i have problem with	
i have problem up	
i have problem on	
i have problem in	
i have problem at	
i am unable to	cannot
have not been able	cannot
have been trying to	want to
could you please help	
can you please help	
would like to	want to
will not work	do not work
something went wrong	do not work
out of date	expired
not able to	cannot
locked out of	cannot sign into
is not working	do not work
in order to	want to
i cannot remember	i forget
how i can	how to
how do i	how to
how can i	how to
has stopped working	do not work
do not remember	forget
did not work	do not work
could you help	
could you	
cannot seem to	cannot
cannot log into	cannot sign into
can you help	
can you	
can I	
can no longer	cannot
are not working	do not work
am trying to	want to
try to	want to
speak with	talk to
speak to	talk to
like to	want to
thank u	thank you
list	
list of	
list out	
show me	
can you give me	
can you show me	
do we have	
I can ask	
