it is	36643
of the	34915
you are	34267
in the	28899
if you	25551
do not	23974
you have	22607
you can	22340
to the	18974
is a	18688
to be	18557
on the	16798
they are	16702
need to	15169
that you	15147
is not	14341
the sales	14230
you will	13978
is the	13363
of your	12696
your sales	12244
want to	12026
that is	11817
how to	11621
with the	11164
for the	10735
to make	10638
to do	10148
in a	10052
you need	9998
are not	9846
there is	9823
and the	9807
you do	9674
with your	9639
as a	9630
with a	9222
have a	9220
have to	9211
do you	9186
to get	9117
this is	9016
when you	8816
at the	8566
going to	8496
a sales	8419
the right	8388
to your	8355
what you	8240
in your	8090
does not	8053
what is	7468
for a	7455
will be	7327
of a	7311
the most	7041
can not	6964
you want	6949
the best	6934
to a	6725
you to	6701
i am	6615
one of	6600
the same	6573
can be	6355
is to	6257
there are	6167
i have	6118
we are	6113
from the	6051
sales process	6046
for your	5967
that they	5880
to help	5869
on your	5731
time to	5713
they have	5706
and you	5613
way to	5542
of sales	5489
help you	5356
sales team	5325
that the	5291
this post	5193
the first	5131
social selling	5123
them to	5073
are the	5051
a few	4947
on a	4888
about the	4831
not have	4828
your team	4815
a lot	4794
sales reps	4787
of their	4759
should be	4723
we have	4706
in sales	4677
the time	4656
be a	4623
they will	4617
and your	4537
your dream	4506
will not	4498
a new	4497
the prospect	4485
able to	4478
you know	4429
what they	4407
are you	4406
your network	4402
they do	4381
is that	4338
you should	4308
have the	4287
your company	4230
your prospect	4171
sales and	4168
to have	4090
more than	4035
they can	4019
if they	4014
share this	3986
a good	3928
out of	3927
are a	3921
make sure	3920
not be	3918
a great	3896
for you	3846
is an	3810
part of	3803
all of	3798
are going	3794
how you	3768
post with	3766
ability to	3711
and how	3684
social media	3683
to take	3680
all the	3667
in their	3666
did not	3646
into the	3628
let us	3627
that are	3623
in this	3623
focus on	3615
how do	3609
your product	3605
have been	3602
the customer	3573
the next	3565
to create	3546
the way	3539
to know	3524
and it	3500
that will	3490
they need	3472
and a	3431
here are	3420
lot of	3390
based on	3342
make a	3337
dream client	3333
can help	3332
make the	3313
the company	3293
and they	3285
you may	3277
trying to	3263
and i	3259
as the	3256
to find	3243
and that	3220
sales managers	3213
is no	3203
you might	3171
to see	3129
and marketing	3124
to you	3102
for sales	3100
if your	3088
but it	3080
as well	3079
a prospect	3049
is your	3038
the top	3000
to their	2991
and then	2987
i was	2981
and sales	2978
when they	2949
to work	2949
by the	2939
the other	2938
you would	2932
for example	2931
of these	2921
to learn	2897
some of	2888
sales leaders	2888
that your	2885
instead of	2879
sales force	2873
and what	2868
sales rep	2868
look at	2850
as you	2848
to sell	2837
ways to	2827
to ask	2821
number of	2820
the new	2818
if the	2807
sales manager	2796
i would	2791
sales strategy	2776
will help	2731
when it	2729
on their	2724
it was	2693
may be	2693
make your	2680
to use	2678
get the	2649
would be	2640
with you	2623
it will	2620
the more	2619
to build	2605
you and	2599
the business	2583
through the	2581
not a	2579
people who	2570
might be	2566
the process	2564
the buyer	2553
because they	2551
the value	2542
a salesperson	2525
be the	2508
from a	2505
the number	2503
your own	2500
at a	2499
for more	2498
the end	2492
your business	2481
sales organization	2480
is important	2478
needs to	2477
your prospects	2465
be able	2448
check out	2448
help them	2439
what are	2433
you get	2424
that we	2420
that i	2408
likely to	2389
who are	2389
their own	2380
of this	2366
who is	2363
over the	2356
time and	2337
about your	2334
important to	2333
that it	2329
your number	2317
to understand	2313
in order	2312
to buy	2309
of what	2300
to keep	2294
like to	2287
think about	2280
such as	2273
not only	2269
not the	2263
your clients	2261
from your	2259
we can	2254
not know	2250
to go	2240
with their	2236
they want	2234
are in	2227
i do	2224
on linkedin	2224
the phone	2214
make it	2195
how much	2190
is going	2180
to change	2177
that can	2175
end of	2146
to improve	2143
know what	2143
the salesperson	2143
not just	2140
get a	2137
and more	2137
but the	2117
up to	2116
a little	2113
the last	2108
of time	2107
the people	2102
know that	2102
order to	2091
i will	2090
can you	2082
you must	2082
i can	2079
looking for	2079
create a	2075
but you	2066
enough to	2064
easy to	2060
of our	2058
take a	2056
up the	2052
have not	2051
in fact	2051
up with	2051
sales teams	2037
product or	2036
will have	2033
believe that	2032
the product	2026
rather than	2024
like a	2021
the results	2019
into a	2019
and their	2016
to win	2004
list of	2002
opportunity to	1995
not want	1994
inside sales	1994
has been	1993
a better	1993
most important	1993
so you	1987
to say	1980
has a	1979
the key	1976
for their	1972
on how	1968
to them	1966
how they	1964
for them	1961
take the	1961
their sales	1956
the following	1951
according to	1949
where you	1945
if it	1943
once you	1938
revenue growth	1937
the problem	1933
we will	1931
ask for	1918
the team	1906
are doing	1905
even if	1904
before you	1904
because you	1903
could be	1902
is one	1900
can do	1899
when the	1896
focused on	1892
he is	1891
about how	1890
is what	1889
your time	1883
most of	1879
us to	1879
your client	1876
or a	1874
when i	1871
the deal	1871
is it	1870
a way	1869
to give	1866
the world	1861
to close	1859
the person	1857
to ensure	1855
the ability	1853
what the	1850
it does	1844
the information	1843
you think	1842
it to	1831
how many	1828
to sales	1821
cold calling	1821
you make	1819
have you	1818
sales professionals	1804
your customers	1800
it can	1797
willing to	1790
it comes	1786
and to	1774
kind of	1771
their business	1768
the only	1761
back to	1759
is more	1755
to share	1755
at least	1751
to start	1747
best practices	1747
