root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
a	an							
aah						aahing	aahed	aahs
aalii					aaliis			
aardvark	aardvarks				aardvarks			
aardwolf					aardwolves			
aba					abas			
abaca					abacas			
abactinal		abactinally						
abacus	abaci,abacuses				abaci			
abalone	abalones				abalones			
abamp					abamps			
abampere					abamperes			
abandon	abandoned,abandoning,abandons				abandons	abandoning	abandoned	abandons
abandoned		abandonedly						
abandonment					abandonments			
abase	abased,abases,abasing					abasing	abased	abases
abasement					abasements			
abash						abashing	abashed	abashes
abashed		abashedly						
abashment					abashments			
abasia					abasias			
abate	abated,abating					abating	abated	
abatement					abatements			
abatis					abatises			
abator					abators			
abattis					abattises			
abattoir					abattoirs			
abbacy					abbacies			
abbe					abbes			
abbess	abbesses				abbesses			
abbey	abbeys				abbeys			
abbot	abbots				abbots			
abbreviate	abbreviated,abbreviates,abbreviating					abbreviating	abbreviated	abbreviates
abbreviation	abbreviations				abbreviations			
abbreviator					abbreviators			
abdicate	abdicated,abdicates,abdicating					abdicating	abdicated	abdicates
abdication	abdications				abdications			
abdomen	abdomens				abdomens			
abdominal		abdominally			abdominals			
abduce						abducing	abduced	abduces
abduct	abducted,abducting,abducts					abducting	abducted	abducts
abduction	abductions				abductions			
abductor	abductors				abductors			
abecedarian					abecedarians			
abele					abeles			
abelmosk					abelmosks			
abend	abends							
aberrancy					aberrancies			
aberrant		aberrantly		aberrance	aberrants			
aberrate						aberrating	aberrated	
aberration	aberrations				aberrations			
abet	abets,abetted,abetting					abetting	abetted	abets
abetment					abetments			
abettal					abettals			
abetter					abetters			
abettor					abettors			
abeyance					abeyances			
abeyant				abeyance				
abfarad					abfarads			
abhenry					abhenries,abhenrys			
abhor	abhorred,abhorring,abhors					abhorring	abhorred	abhors
abhorrence					abhorrences			
abhorrent		abhorrently		abhorrence				
abhorrer					abhorrers			
abidance					abidances			
abide	abided,abides,abiding,abode					abiding	abode	abides
abiding		abidingly						
abient				abience				
ability	abilities				abilities			
abiogenesis					abiogeneses			
abiogenetic		abiogenetically						
abject		abjectly						
abjection					abjections			
abjuration					abjurations			
abjure	abjured,abjures,abjuring					abjuring	abjured	abjures
abjurer					abjurers			
ablactate						ablactating	ablactated	
ablate						ablating	ablated	ablates
ablation					ablations			
ablative	ablatives	ablatively			ablatives			
ablaut					ablauts			
able		ably	abler,ablest					
ablution					ablutions			
abnegate						abnegating	abnegated	abnegates
abnegation					abnegations			
abnegator					abnegators			
abnormal		abnormally		abnormality				
abnormalcy					abnormalcies			
abnormality	abnormalities				abnormalities			
abode	abodes				abodes			
abohm					abohms			
aboideau					aboideaux			
aboiteau					aboiteaux			
abolish	abolished,abolishes,abolishing					abolishing	abolished	abolishes
abolishment					abolishments			
abolitionist	abolitionists				abolitionists			
abominable		abominably						
abominate	abominated,abominates,abominating					abominating	abominated	abominates
abomination	abominations				abominations			
abominator					abominators			
aboral		aborally						
aboriginal	aboriginals	aboriginally		aboriginality	aboriginals			
aborigine	aborigines				aborigines			
abort	aborted,aborting,aborts				aborts	aborting	aborted	aborts
